Ligand,Chemical_Name,SMILES
Ligand_0054,"2,2ﾴ,3,3ﾴ,5,5ﾴ,6,6ﾴ-PCB",Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
Ligand_0055,"p,pﾴ-DDD",Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
Ligand_0056,2-bromonaphthalene,Brc1ccc2ccccc2c1
Ligand_0057,2-pentanol,CCCC(C)O
Ligand_0058,"2,2-dimethyl-1-propanol",CC(C)(C)CO
Ligand_0059,"2,3-dimethylbutanol",CC(C)C(C)CO
Ligand_0060,4-methyl-1-pentanol,CC(C)CCCO
Ligand_0061,"3,3-dimethyl-2-butanol",CC(O)C(C)(C)C
Ligand_0062,2-heptanol,CCCCCC(C)O
Ligand_0063,"2,4-dimethyl-1-pentanol",CC(C)CC(C)CO
Ligand_0064,"2,4-dimethyl-3-pentanol",CCC(C)(O)C(C)C
Ligand_0065,"2,3,3-trimethyl-2-butanol",CC(C)(C)C(C)(C)O
Ligand_0066,3-methyl-3-heptanol,CCCCC(C)(O)CC
Ligand_0067,1-decanol,CCCCCCCCCCO
Ligand_0068,p-methylbenzyl_alcohol,Cc1ccc(CO)cc1
Ligand_0069,"1,2-benzenediol",Oc1ccccc1O
Ligand_0070,m-cresol,Cc1cccc(O)c1
Ligand_0071,thymol,Cc1ccc(C(C)C)c(O)c1
Ligand_0072,2-naphthol,Oc1ccc2ccccc2c1
Ligand_0073,butanal,CCCC=O
Ligand_0074,nonanal,CCCCCCCCC=O
Ligand_0075,furfural,O=Cc1ccco1
Ligand_0076,cyclohexanone,O=C1CCCCC1
Ligand_0077,2-nonanone,CCCCCCCC(C)=O
Ligand_0078,"2,5-cyclohexadiene-1,4-dione",O=C1C=CC(=O)C=C1
Ligand_0079,benzophenone,O=C(c1ccccc1)c1ccccc1
Ligand_0080,succinic_acid,O=C(O)CCC(=O)O
Ligand_0081,caprinic_acid,CCCCCCCCCC(=O)O
Ligand_0082,m-toluic_acid,Cc1cccc(C(=O)O)c1
Ligand_0083,cinnamic_acid,O=C(O)C=Cc1ccccc1
Ligand_0084,1-naphthaceneacetic_acid,O=C(O)Cc1cccc2ccccc12
Ligand_0085,diphenylacetic_acid,O=C(O)C(c1ccccc1)c1ccccc1
Ligand_0086,tetradecanoic_acid,CCCCCCCCCCCCCC(=O)O
Ligand_0087,ethyl_formate,CCOC=O
Ligand_0088,ethyl_propionate,CCOC(=O)CC
Ligand_0089,ethyl_butyrate,CCCC(=O)OCC
Ligand_0090,propyl_butyrate,CCCOC(=O)CCC
Ligand_0091,ethyl_capronate,CCCCCC(=O)OCC
Ligand_0092,ethyl_nonanoate,CCCCCCCCC(=O)OCC
Ligand_0093,methyl_benzoate,COC(=O)c1ccccc1
Ligand_0094,dibutyl_phthalate,CCCCOC(=O)c1ccccc1C(=O)OCCCC
Ligand_0095,diethyl_ether,CCOCC
Ligand_0096,methyl_t-butyl_ether,COC(C)(C)C
Ligand_0097,propyl_isopropyl_ether,CCCOC(C)C
Ligand_0098,anisole,COc1ccccc1
Ligand_0099,styrene_oxide,c1ccc(C2CO2)cc1
Ligand_0100,2-butoxyethanol,CCCCOCCO
Ligand_0101,hydrocortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO
Ligand_0102,prednisolone_acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
Ligand_0103,deoxycorticosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(C(=O)CO)CCC12
Ligand_0104,fludrocortisone,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
Ligand_0105,salicylic_acid,O=C(O)c1ccccc1O
Ligand_0106,ethyl-p-hydroxybenzoate,CCOC(=O)c1ccc(O)cc1
Ligand_0107,2-chlorophenol,Oc1ccccc1Cl
Ligand_0108,"2,4,6-trichlorophenol",Oc1c(Cl)cc(Cl)cc1Cl
Ligand_0109,p-chlorobenzoic_acid,O=C(O)c1ccc(Cl)cc1
Ligand_0110,dieldrin,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
Ligand_0111,hexylamine,CCCCCCN
Ligand_0112,n-octylamine,CCCCCCCCN
Ligand_0113,N-methylaniline,CNc1ccccc1
Ligand_0114,"N,N-dimethylaniline",CN(C)c1ccccc1
Ligand_0115,1-naphthylamine,Nc1cccc2ccccc12
Ligand_0116,"2,5-dimethylpyridine",Cc1ccc(C)nc1
Ligand_0117,isoquinoline,c1ccc2cnccc2c1
Ligand_0118,nicotinic_acid,O=C(O)c1cccnc1
Ligand_0119,"2,6-dimethyl-4-pyrimidinamine",Cc1cc(N)nc(C)n1
Ligand_0120,pyrrole,c1cc[nH]c1
Ligand_0121,2-mercaptobenzothiazole,Sc1nc2ccccc2s1
Ligand_0122,6-hydroxyquinoline,Oc1ccc2ncccc2c1
Ligand_0123,metharbital,CCC1(CC)C(=O)NC(=O)N(C)C1=O
Ligand_0124,atropine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
Ligand_0125,furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
Ligand_0126,amobarbital,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
Ligand_0127,perphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Ligand_0128,acetazoleamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1
Ligand_0129,arecoline,COC(=O)C1=CCCN(C)C1
Ligand_0130,probarbital,CCC1(C(C)C)C(=O)NC(=O)NC1=O
Ligand_0131,sulfamethoxypyridazine,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
Ligand_0132,disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC
Ligand_0133,griseofulvin,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
Ligand_0134,sulfamethiazole,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1
Ligand_0135,brucine,COc1cc2c(cc1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC43
Ligand_0136,sulfaphenazole,Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1
Ligand_0137,sulfamethoxazole,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
Ligand_0138,sulfamethomidine,COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(C)n1
Ligand_0139,oxycarboxin,CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1
Ligand_0140,ketoprofen,CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1
Ligand_0141,cimetidine,CNC(=NC#N)NCCSCc1[nH]cnc1C
Ligand_0142,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
Ligand_0143,cycloheximide,CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1
Ligand_0144,piperazine,C1CNCCN1
Ligand_0145,hydantoin,O=C1CNC(=O)N1
Ligand_0146,N-methylpyrrolidone,CN1CCCC1=O
Ligand_0147,2-aminophenol,Nc1ccccc1O
Ligand_0148,O-ethyl_carbamate,CCOC(N)=O
Ligand_0149,carbaryl,CNC(=O)Oc1cccc2ccccc12
Ligand_0150,N-methylurea,CNC(N)=O
Ligand_0151,acrylamide,C=CC(N)=O
Ligand_0152,4-hydroxyacetanilide,CC(=O)Nc1ccc(O)cc1
Ligand_0153,2-nitropropane,CC(C)[N+](=O)[O-]
Ligand_0154,1-nitronaphthalene,O=[N+]([O-])c1cccc2ccccc12
Ligand_0155,4-nitrobenzoic_acid,O=C(O)c1ccc([N+](=O)[O-])cc1
Ligand_0156,2-nitroaniline,Nc1ccccc1[N+](=O)[O-]
Ligand_0157,3-chloroaniline,Nc1cccc(Cl)c1
Ligand_0158,chlorothalonil,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
Ligand_0159,fluridone,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
Ligand_0160,propanil,CCC(=O)Nc1ccc(Cl)c(Cl)c1
Ligand_0161,alachlor,CCc1cccc(CC)c1N(COC)C(=O)CCl
Ligand_0162,ethanethiol,CCS
Ligand_0163,thiourea,NC(N)=S
Ligand_0164,asulam,COC(=O)NS(=O)(=O)c1ccc(N)cc1
Ligand_0165,trichlorfon,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
Ligand_0166,fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1
Ligand_0167,fenitrothion,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
Ligand_0168,iodofenphos,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
Ligand_0169,hyocholic_acid,CC(CCC(=O)O)C1CCC2C3C(O)C(O)C4CC(O)CCC4(C)C3CCC12C
Ligand_0170,2-methylpiperazine,CC1CNCCN1
Ligand_0171,4-chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1
Ligand_0172,4-nitroacetanilide,CC(=O)Nc1ccc([N+](=O)[O-])cc1
Ligand_0173,hydrastine,COc1ccc2c(c1OC)C(=O)OC2C1c2cc3c(cc2CCN1C)OCO3
Ligand_0174,nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
Ligand_0175,dichlorphen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
Ligand_0176,picloram,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
Ligand_0177,L-tyrosine,NC(Cc1ccc(O)cc1)C(=O)O
Ligand_0178,diallate,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
Ligand_0179,butyl-p-hydroxybenzoate,CCCCOC(=O)c1ccc(O)cc1
Ligand_0180,propyl_gallate,CCCOC(=O)c1cc(O)c(O)c(O)c1
Ligand_0181,pentyl-4-aminobenzoate,CCCCCOC(=O)c1ccc(N)cc1
Ligand_0182,p-terphenyl,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
Ligand_0183,2-chloroacetanilide,CC(=O)Nc1ccccc1Cl
Ligand_0184,coniine,CCC1CCCCN1
Ligand_0185,estragole,C=CCc1ccc(OC)cc1
Ligand_0186,tetrachloroguaiacol,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
Ligand_0187,Rhodanine,O=C1CSC(=S)N1
Ligand_0188,"2,3,4,5-Tetraiodpyrrol",Ic1[nH]c(I)c(I)c1I
Ligand_0189,Cytosine,Nc1cc[nH]c(=O)n1
Ligand_0190,L-Asparagine,NC(=O)CC(N)C(=O)O
Ligand_0191,Diethyl_Sulfone,CCS(=O)(=O)CC
Ligand_0192,4-Hydroxypyridine,Oc1ccncc1
Ligand_0193,6-Methyluracil,Cc1cc(=O)[nH]c(=O)[nH]1
Ligand_0194,L-Arabinose,OC1COC(O)C(O)C1O
Ligand_0195,2-Mercaptopteridine,Sc1ncnc2nccnc12
Ligand_0196,Benzenesulfonamide,NS(=O)(=O)c1ccccc1
Ligand_0197,Thiram,CN(C)C(=S)SSC(=S)N(C)C
Ligand_0198,"trans-2,5-Dimethylpiperazine",CC1CNC(C)CN1
Ligand_0199,m-Iodobenzoic_Acid,O=C(O)c1cccc(I)c1
Ligand_0200,2-Methoxypteridine,COc1ncnc2nccnc12
Ligand_0201,7-Methylthiopteridine,CSc1cnc2ncncc2n1
Ligand_0202,Propylthiouracil,CCCc1cc(=O)[nH]c(=S)[nH]1
Ligand_0203,Chlorquinox,Clc1c(Cl)c(Cl)c2nccnc2c1Cl
Ligand_0204,"2,4-D",O=C(O)COc1ccc(Cl)cc1Cl
Ligand_0205,Methyl_Salicylate,COC(=O)c1ccccc1O
Ligand_0206,N-Methylanthranilic_Acid,CNc1ccccc1C(=O)O
Ligand_0207,Phenetole,CCOc1ccccc1
Ligand_0208,Tyramine,NCCc1ccc(O)cc1
Ligand_0209,"6-Methyl-2,4-heptadione",CC(=O)CC(=O)CC(C)C
Ligand_0210,"cis-1,2-Dimethylcyclohexane",CC1CCCCC1C
Ligand_0211,Benazolin,O=C(O)Cn1c(=O)sc2cccc(Cl)c21
Ligand_0212,DL-2-(2-Chlorophenoxy)propionic_Acid,CC(Oc1cccc(Cl)c1)C(=O)O
Ligand_0213,Methyl-4-methoxybenzoate,COC(=O)c1ccc(OC)cc1
Ligand_0214,Dulcin,CCOc1ccc(NC(N)=O)cc1
Ligand_0215,Pelargonic_Acid,CCCCCCCCC(=O)O
Ligand_0216,Pyrazon,Nc1cnn(-c2ccccc2)c(=O)c1Cl
Ligand_0217,Sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
Ligand_0218,p-Acetoxy-acetanilide,CC(=O)Nc1ccc(OC(C)=O)cc1
Ligand_0219,"5,6,7,8-Tetrahydro-2-naphthol",Oc1ccc2c(c1)CCCC2
Ligand_0220,Carvacrol,Cc1ccc(C(C)C)cc1O
Ligand_0221,d-Fenchone,CC12CCC(C1)C(C)(C)C2=O
Ligand_0222,l-Menthone,CC1CCC(C(C)C)C(=O)C1
Ligand_0223,"2,4-Dimethylquinoline",Cc1cc(C)c2ccccc2n1
Ligand_0224,Dinitramine,CCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)c(N)c1[N+](=O)[O-]
Ligand_0225,Dimethyl_Carbate,COC(=O)C1C2C=CC(C2)C1C(=O)OC
Ligand_0226,Phenbutamide,CCCCNC(=O)NS(=O)(=O)c1ccccc1
Ligand_0227,Ethirimol,CCCCc1c(C)nc(NCC)nc1O
Ligand_0228,Quinonamid,O=C1C(Cl)=C(NC(=O)C(Cl)Cl)C(=O)c2ccccc21
Ligand_0229,Quinhydrone,O=C1C=CC(O)(c2cc(O)ccc2O)C=C1
Ligand_0230,Etryptamine,CCC(N)Cc1c[nH]c2ccccc12
Ligand_0231,4-Hexylresorcinol,CCCCCCc1ccc(O)cc1O
Ligand_0232,Benodanil,O=C(Nc1ccccc1)c1ccccc1I
Ligand_0233,Benfluralin,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
Ligand_0234,Bupirimate,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C
Ligand_0235,"o,p'-DDT",Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1
Ligand_0236,Diphenic_Acid,O=C(O)c1ccccc1-c1ccccc1C(=O)O
Ligand_0237,Benzoin,O=C(Oc1ccccc1)c1ccccc1
Ligand_0238,Pindone,CC(C)(C)C(=O)C1C(=O)c2ccccc2C1=O
Ligand_0239,Methapyrilene,CN(C)CCN(Cc1cccs1)c1ccccn1
Ligand_0240,Morin,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
Ligand_0241,Bendroflumethiazide,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O
Ligand_0242,Oxadiazon,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
Ligand_0243,Metolachlor,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC
Ligand_0244,Hematein,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
Ligand_0245,Fenarimol,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
Ligand_0246,Antazoline,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1
Ligand_0247,Dienestrol,C=CC(c1ccc(O)cc1)C(C=C)c1ccc(O)cc1
Ligand_0248,Hexestrol,CCC(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
Ligand_0249,Hydrocinchonine,CCC1CN2CCC1CC2C(O)c1ccnc2ccccc12
Ligand_0250,Epitiostanol,CC12CCC3C(CCC4CC5SC5CC43C)C1CCC2O
Ligand_0251,Prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
Ligand_0252,Abietic_Acid,CC(C)C1=CC2=CCC3C(C)(C(=O)O)CCCC3(C)C2CC1
Ligand_0253,Ethisterone,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
Ligand_0254,Ethyl_Biscoumacetate,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O
Ligand_0255,Amikacin,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
Ligand_0256,Glyburide,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
Ligand_0257,Diosgenin,CC1CCC2(OC1)OC1CC3C4CC=C5CC(O)CCC5(C)C4CCC3(C)C1C2C
